blockKey,cornerPt_x,cornerPt_z,V_x,V_z,theta_deg,R,R_authored,tl_A,sw_A,tl_B,sw_B,d_A,d_B,diff,ratio,regime,cuspFired,arcLen,rampLen,rampRatio,tlRings,swRings,aspRings,concentric,dropTreeLawn,selfInt,aChain,aSide,bChain,bSide,nArcVerts,nPrevStraightVerts,nNextStraightVerts,fbFound
"-75.0,-320.5",-131.12,-323.19,-134.20,-325.60,104.5,4.40,no,0.00,1.52,,,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.69,,,0,1,1,0,0,0,Rutger Street,right,,,17,0,25,1
"-75.0,-320.5",-129.73,-327.41,-134.20,-325.60,75.3,2.72,no,,,0.00,1.52,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.12,,,0,1,1,0,0,0,,,Rutger Street,right,17,25,0,1
"-75.0,-320.5",-97.35,-425.21,-99.10,-431.60,94.5,3.63,no,,,,,,,,,NEITHER-EMITTED,0,5.42,,,0,0,0,0,0,0,,,,,17,0,0,0
"-75.0,-320.5",10.18,-398.11,18.40,-402.00,85.5,3.14,no,,,,,,,,,NEITHER-EMITTED,0,5.17,,,0,0,0,0,0,0,,,,,17,0,1,0
"-240.5,-301.5",-167.93,-234.50,-166.10,-222.70,90.2,2.22,no,,,,,,,,,NEITHER-EMITTED,0,3.54,,,0,0,0,0,0,0,,,,,17,1,1,0
"-240.5,-301.5",-342.28,-263.28,-355.00,-253.90,81.4,2.95,no,,,,,,,,,NEITHER-EMITTED,0,5.08,,,0,0,0,0,0,0,,,,,17,1,1,0
"-240.5,-301.5",-307.91,-369.13,-316.10,-373.60,92.7,3.52,no,,,,,,,,,NEITHER-EMITTED,0,5.36,,,0,0,0,0,0,0,,,,,17,1,0,0
"-240.5,-301.5",-138.88,-323.92,-134.20,-325.60,78.0,1.85,no,,,,,,,,,NEITHER-EMITTED,0,3.37,,,0,0,0,0,0,0,,,,,17,0,1,0
"-997.0,-313.0",-961.16,-353.02,-954.30,-357.50,91.1,3.42,no,,,,,,,,,NEITHER-EMITTED,0,5.31,,,0,0,0,0,0,0,,,,,17,5,0,0
"-997.0,-313.0",-975.86,-263.77,-970.90,-256.70,90.1,3.37,no,,,,,,,,,NEITHER-EMITTED,0,5.28,,,0,0,0,0,0,0,,,,,17,0,5,0
"-406.0,-413.0",-359.33,-265.45,-355.00,-253.90,66.0,4.50,no,1.00,3.69,2.00,5.11,2.80,4.05,1.25,0.69,ASYM,1,9.43,,,1,1,1,0,0,0,Park Avenue,right,South Jefferson Avenue,left,17,2,2,1
"-406.0,-413.0",-530.20,-297.62,-537.30,-292.60,85.0,3.11,no,,,1.00,3.69,2.80,2.80,0.00,1.00,SYM-WITH-RAMP,1,5.16,2.00,0.39,1,1,1,0,0,0,,,Park Avenue,right,17,2,1,1
"-406.0,-413.0",-509.89,-376.78,-514.30,-382.30,89.2,3.32,no,0.00,1.52,,,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.26,,,0,1,1,0,0,0,Caroline Street,right,,,17,1,33,1
"-406.0,-413.0",-507.80,-384.78,-514.30,-382.30,91.1,3.43,no,,,0.00,1.52,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.31,,,0,1,1,0,0,1,,,Caroline Street,right,17,33,0,1
"-406.0,-413.0",-485.48,-471.57,-490.40,-475.20,89.0,3.31,no,0.00,1.52,,,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.25,,,0,1,1,0,0,0,Rutger Street,right,,,17,0,16,1
"-406.0,-413.0",-484.37,-475.81,-490.40,-475.20,90.6,3.40,no,,,0.00,1.52,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.30,,,0,1,0,0,0,0,,,Rutger Street,right,17,16,0,1
"-406.0,-413.0",-462.58,-558.13,-466.60,-565.20,89.5,3.34,no,,,,,,,,,NEITHER-EMITTED,0,5.27,,,0,0,0,0,0,0,,,,,17,0,0,0
"-406.0,-413.0",-281.97,-509.57,-272.80,-513.10,87.8,3.25,no,2.00,5.11,,,2.92,2.92,0.00,1.00,SYM-WITH-RAMP,1,5.22,2.00,0.38,1,1,0,0,0,0,South Jefferson Avenue,left,,,17,0,2,1
"543.5,-341.0",572.40,-268.80,576.60,-261.40,87.6,3.24,no,,,,,,,,,NEITHER-EMITTED,0,5.22,,,0,0,0,0,0,0,,,,,17,16,0,0
"543.5,-341.0",482.49,-297.26,479.00,-292.30,91.7,3.46,no,,,,,,,,,NEITHER-EMITTED,0,5.33,,,0,0,0,0,0,0,,,,,17,0,16,0
"459.5,-414.0",623.70,-458.39,631.70,-465.20,90.0,3.37,no,0.00,1.52,0.47,1.52,1.91,2.37,0.47,0.80,SYM-NO-RAMP,0,5.28,,,1,1,1,0,0,0,West 18th Street,left,Chouteau Avenue,right,17,3,12,1
"459.5,-414.0",478.67,-298.47,479.00,-292.30,88.3,3.27,no,,,0.00,1.52,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.24,,,0,1,1,0,0,0,,,West 18th Street,left,17,12,0,1
"459.5,-414.0",295.39,-356.61,284.80,-353.90,92.6,3.51,no,,,,,,,,,NEITHER-EMITTED,0,5.36,,,0,0,0,0,0,0,,,,,17,0,0,0
"459.5,-414.0",316.66,-435.72,309.10,-444.30,90.0,3.36,no,0.00,1.52,,,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.28,,,0,1,0,0,0,0,Lasalle Street,right,,,17,0,25,1
"459.5,-414.0",319.95,-447.94,309.10,-444.30,89.9,3.36,no,,,0.00,1.52,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.28,,,0,1,1,0,0,0,,,Lasalle Street,right,17,25,0,1
"459.5,-414.0",342.05,-529.62,335.10,-540.40,90.2,4.41,no,0.47,1.52,,,2.37,2.37,0.00,1.00,SYM-WITH-RAMP,0,6.92,2.00,0.29,1,1,0,0,0,0,Chouteau Avenue,right,,,17,0,3,1
"-599.5,-503.0",-518.77,-387.70,-514.30,-382.30,90.0,3.37,no,0.00,1.52,0.00,1.52,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.29,,,0,1,1,0,0,0,Caroline Street,left,Ohio Avenue,right,17,4,4,1
"-599.5,-503.0",-520.85,-379.72,-514.30,-382.30,89.6,3.34,no,,,0.00,1.52,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.27,,,0,1,1,0,0,0,,,Caroline Street,left,17,4,1,1
"-599.5,-503.0",-541.45,-299.38,-537.30,-292.60,95.2,3.68,no,,,,,,,,,NEITHER-EMITTED,0,5.44,,,0,0,0,0,0,0,,,,,17,1,1,0
